sort,n,seconds
shell0,10,4e-07
shell0,100,2.46e-05
shell0,1000,0.0009184
shell0,10000,0.0650476
shell0,100000,6.94193
shell1,10,2e-07
shell1,100,1.94e-05
shell1,1000,0.0009436
shell1,10000,0.0762194
shell1,100000,7.82429
shell2,10,3e-06
shell2,100,2.72e-05
shell2,1000,0.0009978
shell2,10000,0.082642
shell2,100000,9.09169
shell3,10,2e-06
shell3,100,2.4e-05
shell3,1000,0.0009198
shell3,10000,0.0801248
shell3,100000,8.57486
